ENERGY STAR Unique ID,Brand Name,Model Number,Commercial Versus Residential,Indoor and Outdoor,Technology,Fixture Type,Total Light Output (lumens),Total Input Power (Watts),Energy Efficiency - Measured at the Source (lumens/Watt),Energy Efficiency - Measured Outside the Fixture (lumens/Watt),Appearance/Correlated Color Temperature (K),Color Quality (CRI),Light Source Life (hrs),Light Sources Per Fixture,Special Features,Date Available On Market,Date Certified,Markets
2233146,Terralux,TLF-DV8A-A,Commercial,Indoor,LED,Downlight Recessed,1066,17.5,N/A,59.9,2700,81,57000,N/A,Non-Dimmable- Type Non-IC,02/01/2015,02/16/2015,United States and Canada
2250852,Rab Design,DWL1-LED10-A,Commercial,Outdoor,LED,Outdoor Porch Wall Mount,1028,10,N/A,101,5000,N/A,36000,N/A,Non-Dimmable,07/25/2015,10/12/2015,United States and Canada
2254231,Rab Design,DWL1-LED15-A,Commercial,Outdoor,LED,Outdoor Porch Wall Mount,1433,15,N/A,95,5000,N/A,36000,N/A,Non-Dimmable,07/25/2015,10/12/2015,United States and Canada
2254230,Rab Design,DWL1-LED18-A,Commercial,Outdoor,LED,Outdoor Porch Wall Mount,1746,20,N/A,91,5000,N/A,36000,N/A,Non-Dimmable,07/25/2015,10/12/2015,United States and Canada
2254229,Rab Design,DWL2-LED30-A,Commercial,Outdoor,LED,Outdoor Porch Wall Mount,2834,30,N/A,92,5000,N/A,50000,N/A,Non-Dimmable,07/25/2015,10/12/2015,United States and Canada
2203712,Tech Lighting,E3RFW-Lyq-v,Residential,Indoor,LED,Downlight Recessed,771,17.8,N/A,43.4,2700,82,36000,1,Continuous Dimming- Type IC Airtight,07/01/2008,02/06/2014,United States and Canada
2171694,Progress Lighting,P7325xxxxxx,Residential,Indoor,Fluorescent,Ceiling Mount,2609,39,65.7,N/A,2700,82,10000,3,Non-Dimmable,11/01/2012,10/25/2012,United States and Canada
2171564,Progress Lighting,P7315xxxxxx,Residential,Indoor,Fluorescent,Ceiling Mount,1729,26,65.4,N/A,2700,82,10000,2,Non-Dimmable,11/01/2012,10/25/2012,United States and Canada
2171689,Progress Lighting,P7319xxxxxx,Residential,Indoor,Fluorescent,Close to Ceiling Mount,4520,69,69.2,N/A,2700,80,10000,3,Non-Dimmable,11/01/2012,10/25/2012,United States and Canada
2171687,Progress Lighting,P7320xxxxxx,Residential,Indoor,Fluorescent,Close to Ceiling Mount,5880,84.6,69.5,N/A,2700,80,10000,4,Non-Dimmable,11/01/2012,10/25/2012,United States and Canada
2216339,EcoSmart,ECS DN4 W27 E26 120,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,650,9.5,N/A,69.4,2700,93,35000,N/A,Continuous Dimming- Type Non-IC,07/01/2013,07/24/2014,United States
2216340,EcoSmart,ECS DN4 W27 GU24 120,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,650,9.5,N/A,69.4,2700,93,35000,N/A,Continuous Dimming- Type Non-IC,07/01/2013,07/24/2014,United States
2214495,EcoSmart,ECS DN6 W27 E26 120,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,650,12,N/A,62.2,2700,91,35000,N/A,Continuous Dimming- Type Non-IC,07/01/2014,07/02/2014,United States
2214497,EcoSmart,ECS DN6 W27 GU24 120,Residential and Commercial,Indoor and Outdoor,LED,Downlight Solid State Retrofit,650,12,N/A,62.2,2700,91,35000,N/A,Continuous Dimming- Type Non-IC,07/01/2014,07/02/2014,United States
2243048,FEIT ELECTRIC,74044,Residential,Indoor,LED,Inseparable SSL - Other,845,12,N/A,70.4,4000,83,50000,N/A,Continuous Dimming,07/01/2015,07/09/2015,United States
2243046,FEIT ELECTRIC,74046,Residential,Indoor,LED,Inseparable SSL - Other,1650,23.5,N/A,70.9,4000,83,50000,N/A,Continuous Dimming,07/01/2015,07/09/2015,United States
2251519,e-conolight,E-JM1L1511C,Residential,Indoor,LED,Ceiling Mount,1123,15,74.9,N/A,2700,81,35000,1,Continuous Dimming,05/22/2015,10/30/2015,United States and Canada
2189810,Efficent Lighting,EL-501-118-XX,Residential,Indoor,Fluorescent,Decorative Pendant,1250,18,74.1,N/A,2700,82,10000,1,Non-Dimmable,10/20/2011,09/06/2013,United States and Canada
2189813,Efficent Lighting,EL-501-123-XX,Residential,Indoor,Fluorescent,Decorative Pendant,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,10/20/2011,09/06/2013,United States and Canada
2168103,Tech Lighting,PF659IVSCCF,Residential,Indoor,Fluorescent,Close to Ceiling Mount,7200,102,73,N/A,2700,82,10000,4,Non-Dimmable,01/01/2009,01/11/2013,United States and Canada
2237700,Solistar,100-010,Residential and Commercial,Indoor,LED,Downlight Surface Mount,761,15.8,N/A,48.1,3500,84,46000,17,Continuous Dimming,05/15/2015,04/22/2015,United States and Canada
2174207,Hampton Bay,72199,Residential,Indoor,Fluorescent,Ceiling Fan Light Kit,1800,26,70.8,N/A,2700,82,10000,2,Non-Dimmable,02/01/2012,02/06/2012,United States
2168163,Casa Vieja,SKU T4198,Residential,Indoor,Fluorescent,Ceiling Fan Light Kit,1602,24,67,N/A,2700,82,10000,2,Non-Dimmable,08/01/2011,01/11/2013,United States
2167985,Casa Vieja,SKU T4198,Residential,Indoor,Fluorescent,Ceiling Fan Light Kit,1602,24,67,N/A,2700,82,10000,2,Non-Dimmable,08/01/2011,01/10/2013,United States
2168078,Tech Lighting,700WSVEINZ-CF,Residential,Indoor,Fluorescent,Wall Sconces,1250,18,69,N/A,2700,82,10000,1,Non-Dimmable,01/01/2009,06/05/2012,United States and Canada
2252207,e-conolight,E-T4C1092WW,Residential,Indoor,LED,Downlight Solid State Retrofit,606,9,N/A,68.5,2700,92,44000,N/A,Continuous Dimming,09/01/2014,11/09/2015,United States and Canada
2252208,e-conolight,E-T4C1093WW,Residential,Indoor,LED,Downlight Solid State Retrofit,606,9,N/A,68.5,3000,92,44000,N/A,Continuous Dimming,09/01/2014,11/09/2015,United States and Canada
2244619,e-conolight,E-T4D2103WW,Residential,Indoor,LED,Downlight Solid State Retrofit,665,9.8,N/A,67.9,2700,95,60000,N/A,Continuous Dimming,02/05/2015,02/11/2015,United States and Canada
2252206,e-conolight,E-T4F1113WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,11.3,N/A,53.2,2700,95,36000,N/A,Continuous Dimming,02/05/2015,11/09/2015,United States and Canada
2252210,e-conolight,E-T4G1093WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,572,9.2,N/A,62.7,2700,94,36000,N/A,Continuous Dimming,02/05/2015,05/14/2015,United States and Canada
2252211,NICOR LED,E-T6G1133WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,869,12.6,N/A,69.3,2700,94,36000,N/A,Continuous Dimming,02/05/2015,11/09/2015,United States and Canada
2252213,e-conolight,E-T6H1133WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,838,12.5,N/A,67.2,2700,94,36000,N/A,Continuous Dimming,02/05/2015,11/09/2015,United States and Canada
2168102,Tech Lighting,700EVES1914AS-CF,Residential,Indoor,Fluorescent,Close to Ceiling Mount,3600,51,73,N/A,2700,82,10000,2,Non-Dimmable,01/01/2009,01/11/2013,United States and Canada
2241146,EnviroLite,EVL4730BWH27,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,570,9.6,N/A,59.9,2700,90,50000,N/A,Continuous Dimming,04/15/2014,04/22/2014,United States and Canada
2246495,EnviroLite,EVL6730BY27,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,659,10.8,N/A,61,2700,90,50000,N/A,Continuous Dimming,05/13/2014,08/25/2015,United States and Canada
2242277,Amerlux,E4.75RLW-A14-XX-X-YY,Commercial,Indoor,LED,Downlight Recessed,1131,22,N/A,51.6,2700,96,50000,N/A,Continuous Dimming,06/01/2015,06/26/2015,United States
2242250,Amerlux,E4.75SLW-A14-XX-X-YY,Commercial,Indoor,LED,Downlight Recessed,1236,22,N/A,56.4,2700,97,50000,N/A,Continuous Dimming,06/01/2015,06/25/2015,United States
2243779,Philips Color Kineti,523-000091-80,Residential,Indoor,LED,Cove Mount,214,3.2,N/A,71,2700,82,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243299,Philips Color Kineti,523-000091-92,Residential and Commercial,Indoor,LED,Cove Mount,214,3.4,N/A,64.8,2700,82,25000,N/A,Continuous Dimming,06/01/2015,06/18/2015,United States
2244713,Philips Color Kineti,523-000092-80,Residential,Indoor,LED,Cove Mount,765,10,N/A,85.3,2700,82,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243777,Philips Color Kineti,523-000090-80,Residential,Indoor,LED,Cove Mount,111,1.8,N/A,68.2,2700,82,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243778,Philips Color Kineti,523-000090-92,Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,111,2.3,N/A,53.6,2700,82,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243783,Philips Color Kineti,523-000091-52,Residential,Indoor,LED,Cove Mount,361,5.1,N/A,75.2,2700,83,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243782,Philips Color Kineti,523-000091-48,Residential,Indoor,LED,Cove Mount,384,5.1,N/A,79.2,2700,83,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243785,Philips Color Kineti,523-000091-76,Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,361,6,N/A,69.4,2700,83,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243784,Philips Color Kineti,523-000091-72,Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,384,6,N/A,74,2700,83,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2244714,Philips Color Kineti,523-000092-52,Residential,Indoor,LED,Cove Mount,1361,19,N/A,79.7,2700,84,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2244715,Philips Color Kineti,523-000092-48,Residential,Indoor,LED,Cove Mount,1372,19,N/A,79.9,2700,84,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243781,Philips Color Kineti,523-000090-52,Residential,Indoor,LED,Cove Mount,166,2.8,N/A,64.4,2700,83,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2243780,Philips Color Kineti,523-000090-48,Residential,Indoor,LED,Cove Mount,176,2.8,N/A,69.1,2700,83,25000,N/A,Continuous Dimming,06/01/2015,07/14/2015,United States and Canada
2170749,Philips Color Kineti,523-000027-60,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,211,6.5,N/A,32.3,3000,85,35000,N/A,Continuous Dimming,05/15/2011,08/14/2012,United States and Canada
2170750,Philips Color Kineti,523-000027-61,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,404,12.5,N/A,32.3,3000,85,35000,N/A,Continuous Dimming,05/15/2011,08/14/2012,United States and Canada
2170751,Philips Color Kineti,523-000027-68,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,788,24.4,N/A,32.3,3000,85,35000,N/A,Continuous Dimming,05/15/2011,08/14/2012,United States and Canada
2170748,Philips Color Kineti,523-000068-00,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,340,8.2,N/A,41.4,2700,83,50000,N/A,Continuous Dimming,06/01/2012,08/06/2012,United States and Canada
2174672,Philips Color Kineti,523-000068-32,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,340,8.2,N/A,39,2700,83,50000,N/A,Continuous Dimming,05/15/2011,03/05/2013,United States and Canada
2174673,Philips Color Kineti,523-000068-40,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,625,15,N/A,39,2700,83,50000,N/A,Continuous Dimming,05/15/2011,03/05/2013,United States and Canada
2192397,Philips Color Kineti,523-000027-82,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,441,10,N/A,43.9,2700,82,35000,N/A,Continuous Dimming,05/15/2011,10/11/2013,United States and Canada
2192396,Philips Color Kineti,523-000027-81,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,229,6.2,N/A,37.1,2700,82,35000,N/A,Continuous Dimming,05/15/2011,10/11/2013,United States and Canada
2192398,Philips Color Kineti,523-000027-83,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,886,20.5,N/A,43.1,2700,82,35000,N/A,Continuous Dimming,05/15/2011,10/11/2013,United States and Canada
2252215,e-conolight,E-WR2L3631,Residential,Indoor,LED,N/A,2895,36.8,N/A,78.8,3000,85,60000,N/A,Non-Dimmable,12/11/2014,11/09/2015,United States and Canada
2252216,e-conolight,E-WR2L3641,Residential,Indoor,LED,N/A,2895,36.8,N/A,78.8,3000,85,60000,N/A,Non-Dimmable,12/11/2014,11/09/2015,United States and Canada
2252222,e-conolight,E-WR4L7131,Residential,Indoor,LED,N/A,5361,73.2,N/A,73.2,3000,85,60000,N/A,Non-Dimmable,12/11/2014,03/09/2015,United States and Canada
2252223,e-conolight,E-WR4L7141,Residential,Indoor,LED,N/A,5361,73.2,N/A,73.2,3000,85,60000,N/A,Non-Dimmable,12/11/2014,03/09/2015,United States and Canada
2246008,PreciseLED Inc.,EXCT-15W-30K-WH,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,1150,15,N/A,72.7,3000,80,35000,1,Continuous Dimming,08/17/2015,08/17/2015,United States
2246006,PreciseLED,EXCT-25W-30K-WH,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,2070,25,N/A,79.6,3000,81,36000,1,Continuous Dimming,08/17/2015,08/17/2015,United States
2246007,PreciseLED,EXCT-36W-30K-WH,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,2870,36,N/A,78.7,3000,81,35000,1,Continuous Dimming,08/17/2015,08/17/2015,United States
2250262,NexEco,FONE18GUPB,Residential,Outdoor,Fluorescent,Porch (Wall Mounted),1369,19,72.2,N/A,N/A,N/A,10000,1,N/A,10/01/2015,10/12/2015,United States
2189073,Sunset Lighting,F7679-XX,Residential,Indoor,Fluorescent,Decorative Pendant,2400,36,72,N/A,2700,82,10000,2,Non-Dimmable,08/01/2013,08/27/2013,United States and Europe and Canada
2187791,Sunset Lighting,F9141-XX,Residential,Indoor,Fluorescent,Decorative Pendant,900,13,70,N/A,2700,82,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2187795,Sunset Lighting,F2683-XX,Residential,Indoor,Fluorescent,Chandelier,900,13,70,N/A,2700,82,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2187793,Sunset Lighting,F3631-XX,Residential,Indoor,Fluorescent,Bath Vanity,900,13,70,N/A,2700,82,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2189071,Sunset Lighting,F7290-53-GU24-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1800,26,70,N/A,2700,82,10000,2,Non-Dimmable,08/01/2013,08/27/2013,United States and Europe and Canada
2187796,Sunset Lighting,F3296-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1200,18,72,N/A,2700,82,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2217218,Sunset Lighting,F7295-XX,Residential,Indoor,Fluorescent,Other,3000,46,69.5,N/A,2700,82,10000,2,Non-Dimmable,09/01/2014,07/30/2014,United States and Canada
2189074,Sunset Lighting,F7178-XX,Residential,Indoor,Fluorescent,Ceiling Mount,3100,46,69,N/A,2700,82,10000,2,Non-Dimmable,08/01/2013,08/27/2013,United States and Europe and Canada
2187794,Sunset Lighting,F7973-XX,Residential,Indoor and Outdoor,Fluorescent,Porch (wall mounted),900,13,70,N/A,2700,82,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2189072,Sunset Lighting,F8053-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1690,26,67.4,N/A,2700,82,10000,2,Non-Dimmable,08/01/2013,08/27/2013,United States and Europe and Canada
2189075,Sunset Lighting,F8057-XX,Residential,Indoor,Fluorescent,Ceiling Mount,3200,46,76.1,N/A,2700,82,10000,2,Non-Dimmable,08/01/2013,08/27/2013,United States and Europe and Canada
2187797,Sunset Lighting,F8090-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1280,19.4,66.8,N/A,2700,84,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2189069,Sunset Lighting,F8095-XX,Residential,Indoor,Fluorescent,Ceiling Mount,2950,44.1,67,N/A,2700,83,10000,2,Non-Dimmable,08/01/2013,08/27/2013,United States and Europe and Canada
2187792,Sunset Lighting,F9002-XX,Residential,Indoor,Fluorescent,Wall Sconces,900,13,70,N/A,2700,82,10000,1,Non-Dimmable,08/01/2013,08/13/2013,United States and Europe and Canada
2191622,Sunset Lighting,F9855-XX,Residential,Indoor,Fluorescent,Linear Strip,4376,55,70,N/A,3000,85,10000,2,Non-Dimmable,08/01/2013,09/19/2013,United States and Europe and Canada
2191511,Sunset Lighting,F9862-XX,Residential,Indoor,Fluorescent,Linear Strip,8900,103,70,N/A,3000,85,10000,4,Non-Dimmable,08/01/2013,09/17/2013,United States and Europe and Canada
2168161,Sunlite,FCM12/AL/GU24/ES,Residential,Indoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,07/01/2012,01/11/2013,United States and Canada
2210527,FORTEC,FD-U4A 3000K,Residential and Commercial,Indoor,LED,Downlight Recessed,630,8,N/A,79.7,3000,84,36000,21,Non-Dimmable- Type Non-IC,05/10/2014,05/09/2014,United States
2210529,FORTEC,FD-U6A 3000K,Residential and Commercial,Indoor,LED,Downlight Recessed,950,11,N/A,90.7,3000,84,36000,30,Non-Dimmable- Type Non-IC,05/01/2014,05/09/2014,United States
2171179,Sun & Stars Lighting,5002-GU123-XX,Residential,Indoor and Outdoor,Fluorescent,Wall Sconces,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171186,Sun & Stars Lighting,1010-GU223-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1600,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2178816,Xing Nan,1003GU-XX-118,Residential,Outdoor,Fluorescent,Other,1250,18,74.1,N/A,N/A,N/A,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2186648,Xing Nan,1003GU-XX-118,Residential,Outdoor,Fluorescent,Other,1250,18,74.1,N/A,N/A,N/A,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171256,Sun & Stars Lighting,1004-GU213-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171210,Sun & Stars Lighting,1003-GU218-XX,Residential,Indoor,Fluorescent,Ceiling Mount,2500,36,74.1,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2193788,SUN&STARS LIGHTING,1000-GU213-XX,Residential,Indoor,Fluorescent,Close to Ceiling Mount,1800900,13,70.1,N/A,2700,82,10000,21,Non-Dimmable,09/10/2013,10/07/2013,United States
2193767,SUN&STARS LIGHTING,1000-GU223-XX,Residential,Indoor,Fluorescent,Ceiling Mount,3200,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,09/10/2013,10/07/2013,United States
2183612,Sun & Stars Lighting,1003-GU213-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,11/05/2012,10/30/2012,United States
2171249,Sun & Stars Lighting,2001-GU113-XX,Residential,Indoor and Outdoor,Fluorescent,Bath Vanity,900,13,71,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/22/2012,United States
2171203,Sun & Stars Lighting,2001-GU118-XX,Residential,Indoor,Fluorescent,Bath Vanity,1250,18,74.1,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171261,Sun & Stars Lighting,2001-GU213-XX,Residential,Indoor and Outdoor,Fluorescent,Bath Vanity,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171182,Sun & Stars Lighting,2001-GU123-XX,Residential,Indoor,Fluorescent,Bath Vanity,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2177118,Xing Nan,2001GU-XX-118,Residential,Indoor,Fluorescent,Ceiling Mount,1250,18,74.1,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171266,Sun & Stars Lighting,3106-GU313-XX,Residential,Indoor and Outdoor,Fluorescent,Bath Vanity,2700,39,71,N/A,2700,82,10000,3,Non-Dimmable,04/01/2012,02/22/2012,United States
2171215,Sun & Stars Lighting,2001-GU218-XX,Residential,Indoor,Fluorescent,Bath Vanity,2500,36,74.1,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171191,Sun & Stars Lighting,2001-GU223-XX,Residential,Indoor,Fluorescent,Bath Vanity,1600,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171217,Sun & Stars Lighting,3106-GU318-XX,Residential,Indoor,Fluorescent,Bath Vanity,3750,54,74.1,N/A,2700,82,10000,3,Non-Dimmable,04/01/2012,02/23/2012,United States
2171193,Sun & Stars Lighting,3106-GU323-XX,Residential,Indoor,Fluorescent,Bath Vanity,1600,69,72.3,N/A,2700,82,10000,3,Non-Dimmable,04/01/2012,02/23/2012,United States
2171268,Sun & Stars Lighting,3106-GU413-XX,Residential,Indoor and Outdoor,Fluorescent,Bath Vanity,3600,52,71,N/A,2700,82,10000,4,Non-Dimmable,04/01/2012,02/22/2012,United States
2171219,Sun & Stars Lighting,3106-GU418-XX,Residential,Indoor,Fluorescent,Bath Vanity,5000,72,74.1,N/A,2700,82,10000,4,Non-Dimmable,04/01/2012,02/23/2012,United States
2171195,Sun & Stars Lighting,3106-GU423-XX,Residential,Indoor,Fluorescent,Bath Vanity,1600,92,72.3,N/A,2700,82,10000,4,Non-Dimmable,04/01/2012,02/23/2012,United States
2171259,Sun & Stars Lighting,4003-GU213-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171189,Sun & Stars Lighting,4003-GU223-XX,Residential,Indoor,Fluorescent,Ceiling Mount,1600,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171213,Sun & Stars Lighting,4003-GU218-XX,Residential,Indoor,Fluorescent,Ceiling Mount,2500,36,74.1,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2183571,RP,4036xx-G,Residential,Indoor,LED,Ceiling Mount,3200,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,05/30/2013,05/20/2013,United States and Canada
2171151,RP,43205XX-G13-ES,Residential,Indoor,Fluorescent,Ceiling Mount,900,13,71,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/22/2012,United States
2171158,RP,4321XX-G213-ES,Residential,Indoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171144,RP,44179XX-G23-ES,Residential,Indoor and Outdoor,Fluorescent,Wall Sconces,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171156,RP,47133XX-G213-ES,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171161,RP,49115XX-G213-ES,Residential,Indoor,Fluorescent,Bath Vanity,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171197,Sun & Stars Lighting,5013-GU118-XX,Residential,Indoor and Outdoor,Fluorescent,Wall Sconces,1250,18,74.1,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171254,Sun & Stars Lighting,5008-GU213-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1800,26,71,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/22/2012,United States
2171198,Sun & Stars Lighting,5008-GU118-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1250,18,74.1,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171180,Sun & Stars Lighting,5008-GU123-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2171208,Sun & Stars Lighting,5003-GU218-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,2500,36,74.1,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171184,Sun & Stars Lighting,5003-GU223-XX,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1600,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171246,Sun & Stars Lighting,5002-GU113-XX,Residential,Indoor and Outdoor,Fluorescent,Wall Sconces,900,13,71,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/22/2012,United States
2193793,SUN&STARS LIGHTING,5000-GU113-XX,Residential,Indoor,Fluorescent,Wall Sconces,900,13,70.1,N/A,2700,82,10000,1,Non-Dimmable,09/10/2013,10/07/2013,United States
2193769,SUN&STARS LIGHTING,2008-GU123-XX,Residential,Indoor,Fluorescent,Bath Vanity,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,09/10/2013,10/07/2013,United States
2171145,RP,43205XX-G223-ES,Residential,Indoor,Fluorescent,Ceiling Mount,3200,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171147,RP,45187XX-G223-ES,Residential,Indoor,Fluorescent,Bath Vanity,3200,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,02/23/2012,United States
2171233,Canarm,IFM XXX M YY 223,Residential,Indoor,Fluorescent,Ceiling Mount,3200,46,72.3,N/A,2700,82,10000,2,Non-Dimmable,04/01/2012,03/15/2012,United States and Canada
2231802,Biltmore Lighting,B140GU123-XX-27K,Residential,Indoor and Outdoor,Fluorescent,Wall Sconces,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2231803,Biltmore Lighting,B61GU123-XX-27K,Residential,Indoor,Fluorescent,Ceiling Mount,1600,23,72.3,N/A,2700,82,10000,1,Non-Dimmable,04/01/2012,02/23/2012,United States
2177116,Buffalo,G1002-BL-118,Residential,Indoor,Fluorescent,Bath Vanity,1250,18,74.1,N/A,2700,81,10000,1,Non-Dimmable,05/01/2012,02/22/2012,United States
2177117,Buffalo,G2001-NI-213,Residential,Indoor,Fluorescent,Ceiling Mount,900,13,71,N/A,2700,82,10000,1,Non-Dimmable,05/01/2012,02/22/2012,United States
2177114,Buffalo Lite,G3001-XX-126,Residential,Indoor,Fluorescent,Bath Vanity,1650,26,76.6,N/A,2700,81,10000,1,Non-Dimmable,05/01/2012,02/21/2012,United States
2171286,Canarm,ICHAN XXX M 04413,Residential,Indoor,Fluorescent,Chandelier,3600,52,71,N/A,2700,82,10000,4,Non-Dimmable,04/01/2012,03/15/2012,United States and Canada
2171242,Canarm,ICHAN XXX M 04423,Residential,Indoor,Fluorescent,Chandelier,6400,92,72.3,N/A,2700,82,10000,4,Non-Dimmable,04/01/2012,03/15/2012,United States and Canada
